번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,서울특별시 중랑구청,서울특별시 중랑구 면목로37길 58,,생활방범,4,,,,,02-2094-0284,37.58004478,127.0836163,2020-05-06
2,서울특별시 중랑구청,서울특별시 중랑구 용마산로58길 35,,생활방범,1,,,,,02-2094-0284,37.57797241,127.0930099,2020-05-06
3,서울특별시 중랑구청,서울특별시 중랑구 용마산로62길 14,,생활방범,3,,,,,02-2094-0284,37.57725634,127.0838801,2020-05-06
4,서울특별시 중랑구청,서울특별시 중랑구 사가정로46나길 26,,생활방범,2,,,,,02-2094-0284,37.57761383,127.0884323,2020-05-06
5,서울특별시 중랑구청,서울특별시 중랑구 사가정로72길 30,,생활방범,1,,,,,02-2094-0284,37.57952499,127.0951004,2020-05-06
6,서울특별시 중랑구청,서울특별시 중랑구 면목로 283,,생활방범,1,,,,,02-2094-0284,37.57810974,127.0858154,2020-05-06
7,서울특별시 중랑구청,서울특별시 중랑구 답십리로75길 124,,생활방범,2,,,,,02-2094-0284,37.5772004,127.0806113,2020-05-06
8,서울특별시 중랑구청,서울특별시 중랑구 답십리로77길 118,,생활방범,1,,,,,02-2094-0284,37.57691574,127.0812912,2020-05-06
9,서울특별시 중랑구청,서울특별시 중랑구 사가정로46길 55-34,,생활방범,1,,,,,02-2094-0284,37.578125,127.0842819,2020-05-06
10,서울특별시 중랑구청,서울특별시 중랑구 용마산로276,,생활방범,2,,,,,02-2094-0284,37.577034,127.0898361,2020-05-06
11,서울특별시 중랑구청,서울특별시 중랑구 면목로35길 50-10,,생활방범,2,,,,,02-2094-0284,37.5793664,127.0837758,2020-05-06
12,서울특별시 중랑구청,서울특별시 중랑구 사가정로42길 11,,생활방범,2,,,,,02-2094-0284,37.58060837,127.0839081,2020-05-06
13,서울특별시 중랑구청,서울특별시 중랑구 용마산로52길 20,,생활방범,4,,,,,02-2094-0284,37.57801056,127.0922012,2020-05-06
14,서울특별시 중랑구청,서울특별시 중랑구 면목로42길 22,,생활방범,3,,,,,02-2094-0284,37.57961273,127.0891647,2020-05-06
